Position,"Track Name",Artist,URL
1,"Die Very Rough","Mario Judah",https://open.spotify.com/track/1AyrLa7PkFQvt1A6XQY3ff
2,"Drip Like ME",Kenndog,https://open.spotify.com/track/6S6FVfLInBO3NcC1BsJPYv
3,"Cat Girls Are Ruining My Life!",CORPSE,https://open.spotify.com/track/4SPBwOTXgku4QvmRtMEGfW
4,Whoopty,CJ,https://open.spotify.com/track/1RSzyxqtIO4yX3EyiV4zT5
5,"Put Your Records On","Ritt Momney",https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
6,"Miss YOU!",CORPSE,https://open.spotify.com/track/3pXVmZh293nWtqxildz9jf
7,"White Tee",CORPSE,https://open.spotify.com/track/3qdRwIwWa5nVZnNp43uYrx
8,"Onna Come Up","Lil Eazzyy",https://open.spotify.com/track/3NxFTRr0692mbC5hD0nEZD
9,THICK,"DJ Chose",https://open.spotify.com/track/0YYNIGKgAk34vZkV2NySie
10,"Never Satisfied",CORPSE,https://open.spotify.com/track/04bEhujOxzNrXeideMtFuR
11,"Capitalize Off Pain","Big $tunt",https://open.spotify.com/track/7x3vcsxOTWQm3FxRrUEqzv
12,"Throat Baby (Go Baby)","BRS Kash",https://open.spotify.com/track/31iqpzg1ZXLLgq0L5iIwLe
13,Daisy,Ashnikko,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
14,"This Side of Paradise","Coyote Theory",https://open.spotify.com/track/3sgf2a905hjZ81tXYytY6i
15,"Unsaid Emily (feat. Charlie Gillespie)","Julie and the Phantoms Cast",https://open.spotify.com/track/2vEDOWuYM6r2LO9HXI47F1
16,"White Tee - Alternate Bass Boosted Version",CORPSE,https://open.spotify.com/track/3AQdBQPDyHQpEauct5Fiu6
17,"Gone Too Soon","Andrew Jannakos",https://open.spotify.com/track/7mDZ2NdYOeKFcz2zGnKBwU
18,"Cabin Fever",CORPSE,https://open.spotify.com/track/5cCpq6EJqI8dgz8FwE7gk3
19,"Deep End",Fousheé,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
20,Sofia,Clairo,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
21,"Holy (feat. Chance The Rapper)","Justin Bieber",https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
22,"No Wind Resistance!",Kinneret,https://open.spotify.com/track/78Vm1H6bT8WQyPNyx7HBhP
23,"You Got It",Vedo,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8
24,"Perfecta en Mis Ojos","Angel Perez",https://open.spotify.com/track/2an1crKGNWXdviPTzWyH0I
25,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
26,Michelle,"Sir Chloe",https://open.spotify.com/track/3sa1wUB8FAkoH95MGPGBWI
27,"Wake Up (feat. Madison Reyes)","Julie and the Phantoms Cast",https://open.spotify.com/track/3gy83YfNaZOsAvkbVgD6IQ
28,"What You Know Bout Love","Pop Smoke",https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
29,夜に駆ける,YOASOBI,https://open.spotify.com/track/3dPtXHP0oXQ4HCWHsOA9js
30,"Dreams - 2004 Remaster","Fleetwood Mac",https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
31,F-150,"Robyn Ottolini",https://open.spotify.com/track/0JSxnF1JmC8LblMhrovm6K
32,"Monster Mash","Bobby ""Boris"" Pickett",https://open.spotify.com/track/0xxZY5C9xxij3D1HkzbnfC
33,"Moonwalking in Calabasas (feat. Blueface) - Remix",DDG,https://open.spotify.com/track/7o4gBbTM6UBLkOYPw9xMCz
34,"Things I Can't Say (feat. Julia Cole)","Spencer Crandall",https://open.spotify.com/track/3kdQfsfmWiLbPFrcdvhSYg
35,"Se Te Nota (with Guaynaa)","Lele Pons",https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
36,"Jerusalema (feat. Nomcebo Zikode)","Master KG",https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
37,"Edge of Great (feat. Madison Reyes, Charlie Gillespie, Owen Patrick Joyner & Jeremy Shada)","Julie and the Phantoms Cast",https://open.spotify.com/track/1e2ofLpE40cjEeMENP7pzv
38,"Mood (feat. iann dior)",24kGoldn,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
39,"Flying Solo (feat. Madison Reyes, Charlie Gillespie, Owen Patrick Joyner & Jeremy Shada)","Julie and the Phantoms Cast",https://open.spotify.com/track/2e3ZtFtjaPvcBgJy3xpXFT
40,"Vida de Rico",Camilo,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
41,"Coochie Land","YN Jay",https://open.spotify.com/track/5cA7vZdJfODsnOECf0vTzg
42,"Судно (Борис Рижий)","Molchat Doma",https://open.spotify.com/track/6DONTnamNDOJdO6DzCu71p
43,"Papi Chulo",Octavian,https://open.spotify.com/track/6Juv5N0dNU1imms9c9u1dA
44,"Cold World","Eric Reprid",https://open.spotify.com/track/4ak6aB6Lar1U9swfCVTSVv
45,"This Is Halloween","The Citizens of Halloween",https://open.spotify.com/track/0yURuYmnz9tl4K04e5Y6aQ
46,"Now or Never (feat. Charlie Gillespie, Owen Patrick Joyner & Jeremy Shada)","Julie and the Phantoms Cast",https://open.spotify.com/track/2h4BV7jx9Ltz9NxC2zgNcW
47,"LA DI DA",EVERGLOW,https://open.spotify.com/track/60M8FSYZP8MA0Wy2huOADL
48,"Perfect Harmony (feat. Madison Reyes & Charlie Gillespie)","Julie and the Phantoms Cast",https://open.spotify.com/track/5yeHtAPGAFsfN9baoglUlc
49,"Blueberry Eyes (feat. SUGA of BTS)",MAX,https://open.spotify.com/track/6sI8Q7TTJeA9exw6hxEqq3
50,"Spooky, Scary Skeletons - Undead Tombstone Remix","Andrew Gold",https://open.spotify.com/track/1sUdq3kWa9dJXHu3eYOUll
