,year,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode
79,2000,0.28665430251500024,0.5890393999999984,242958.072,0.6222228399999986,0.09978976032499992,0.2009182500000003,-8.288861500000014,0.08985415000000019,118.93267200000004,0.5573495499999997,46.3125,7,1
80,2001,0.27039216722999954,0.5859331499999991,241011.54,0.638171686000001,0.09475379677499993,0.1872396999999998,-8.051443999999991,0.0912573999999998,117.90320149999992,0.5509530999999996,48.6245,7,1
81,2002,0.2754086054499997,0.5786278499999994,239810.2355,0.6513522900000009,0.08110273732500001,0.19558895000000012,-7.517303999999999,0.08380909999999997,119.5606995000001,0.5478405,48.202,7,1
82,2003,0.2473794320450001,0.5766327500000002,245057.708,0.6661775500000011,0.08068469056,0.1954671499999998,-7.3594095,0.09231584999999992,121.00653550000006,0.5349429499999997,48.4045,7,1
83,2004,0.2642102908400008,0.5722623999999994,239908.2885,0.6605525600000012,0.06928727091000005,0.2022549000000002,-7.3586795000000045,0.09381965000000006,121.67667600000013,0.5308764500000013,48.974,7,1
84,2005,0.24681674257,0.5763006000000004,238882.83800000002,0.6597665550000027,0.08108178036500009,0.18918573499999985,-7.298013499999998,0.09406584999999984,122.11565450000023,0.5331835500000003,50.3475,7,1
85,2006,0.26628397902999984,0.56844475,236364.3485,0.6578295349999984,0.07320888855,0.1873865500000001,-7.139477999999995,0.08384884999999985,121.81348599999994,0.5208878000000001,50.631,7,1
86,2007,0.24180436130000024,0.5648300500000004,242951.7495,0.6730113000000014,0.07156176582000001,0.19531585000000032,-6.993947500000013,0.08387600000000002,123.47012250000027,0.51510375,50.7085,7,1
87,2008,0.2411181200600004,0.5834104999999993,239900.875,0.6758608922999995,0.061075722510000034,0.19859070000000012,-6.803835000000012,0.07707565000000025,123.46984050000003,0.5312542999999998,50.522,0,1
88,2009,0.24526934592,0.56685735,238880.798,0.6807656650000005,0.06342900585000001,0.20644795,-6.839578499999996,0.08704805000000006,123.65681799999999,0.5118218685,51.36,0,1
89,2010,0.22871228306500016,0.5778111500000005,243543.9095,0.6936963550999994,0.07797051530999981,0.20197699999999974,-6.694271000000002,0.08600675000000009,123.4369654999999,0.5258112799999993,52.7635,0,1
90,2011,0.23938175722999985,0.559822150000001,236586.65600000002,0.6712690660000008,0.08569028278000007,0.2040738000000002,-7.176961500000013,0.08990239999999998,122.39930550000031,0.47951498500000106,53.184,0,1
91,2012,0.2361965864550001,0.5716951000000007,242556.9375,0.6698113400000014,0.06928754146499996,0.1951285000000001,-6.999708500000001,0.08370134999999998,122.09983700000008,0.4746572699999994,54.34,7,1
92,2013,0.2419685896800001,0.5788737499999993,239570.8225,0.6564671888499991,0.07276873100999992,0.19953350000000009,-7.199979499999995,0.09762169999999994,120.78447349999996,0.4672443999999996,55.6915,1,1
93,2014,0.23761401954500005,0.5895741499999995,231953.44600000003,0.6534970216000003,0.058542842684999985,0.19008369999999986,-6.957376000000019,0.08467125000000003,122.5846689999999,0.4645989550000012,56.9645,0,1
94,2015,0.24680092125323705,0.5910075608493004,224708.84412221645,0.6334988267736925,0.058261659715173476,0.18751315380631828,-7.134255308130492,0.0957433972035214,119.69610512687723,0.44394446400828497,59.54790264111859,0,1
95,2016,0.28028970382427665,0.5999763839512433,219400.76383951245,0.5928771561706442,0.07464638353986798,0.18019796851193476,-7.949912646013213,0.10729822244794313,119.07034382935505,0.4307690299644494,61.37125444388014,0,1
96,2017,0.28991629086000004,0.6122864000000002,209343.613,0.5867385868999985,0.09820921282999998,0.19421845,-8.422697499999998,0.11175244999999977,116.84027750000031,0.414465275,64.8615,1,1
97,2018,0.2719409025999999,0.6649300000000001,200919.11899999998,0.5905911699999998,0.03594792056000005,0.17178135000000014,-7.253665999999992,0.12814010000000006,122.0043249999998,0.4471409200000004,67.27600000000001,1,1
98,2019,0.28929754549999964,0.6442153500000002,197733.133,0.5787961132500007,0.07651758950499993,0.16716060000000013,-8.041738000000008,0.12479869999999997,118.86816300000002,0.4658556200000011,69.6555,1,1
99,2020,0.2473740374259672,0.6730774487471516,197114.66230068335,0.6119141913439642,0.03905225300683365,0.17704817767653766,-7.204023917995442,0.14350484054669696,121.22870387243746,0.4827551480637813,63.11104783599089,1,1
